Name,Label,Canton_name
La Chaux (Cossonay),20,Gland
La Chaux-de-Fonds,22,La Chaux-de-Fonds
La Chaux-des-Breuleux,22,La Chaux-de-Fonds
La Chaux-du-Milieu,22,La Chaux-de-Fonds
La Côte-aux-Fées,22,La Chaux-de-Fonds
La Ferrière,22,La Chaux-de-Fonds
La Folliaz,24,Lausanne
La Neuveville,22,La Chaux-de-Fonds
La Praz,20,Gland
La Punt-Chamues-ch,2,Sion
La Rippe,5,Genève
La Roche,7,Köniz
La Sagne,22,La Chaux-de-Fonds
La Sarraz,20,Gland
La Sonnaz,16,Luzern
La Tour-de-Peilz,6,Montreux
La Tène,22,La Chaux-de-Fonds
La Verrerie,24,Lausanne
Laax,4,Chur
Lachen,14,Winterthur
Laconnex,5,Genève
Lajoux (JU),4,Chur
Lalden,12,Brig-Glis
Lamone,18,Lugano
Lampenberg,3,Muttenz
Lancy,5,Genève
Landiswil,17,Bern
Landquart,4,Chur
Langenbruck,0,Kriens
Langendorf,25,Basel
Langenthal,0,Kriens
Langnau am Albis,11,Zürich
Langnau im Emmental,0,Kriens
Langrickenbach,14,Winterthur
Lantsch/Lenz,10,Davos
Lauenen,12,Brig-Glis
Lauerz,16,Luzern
Laufen,4,Chur
Laufen-Uhwiesen,14,Winterthur
Laufenburg,19,Baden
Laupen,7,Köniz
Laupersdorf,25,Basel
Lauperswil,17,Bern
Lausanne,24,Lausanne
Lausen,3,Muttenz
Lauterbrunnen,12,Brig-Glis
Lauwil,4,Chur
Lavertezzo,18,Lugano
Lavey-Morcles,2,Sion
Lavigny,20,Gland
Lavizzara,18,Lugano
Lax,12,Brig-Glis
Le Bémont (JU),22,La Chaux-de-Fonds
Le Cerneux-Péquignot,22,La Chaux-de-Fonds
Le Chenit,20,Gland
Le Châtelard,7,Köniz
Le Flon,24,Lausanne
Le Glèbe,7,Köniz
Le Grand-Saconnex,5,Genève
Le Landeron,22,La Chaux-de-Fonds
Le Lieu,20,Gland
Le Locle,22,La Chaux-de-Fonds
Le Mont-sur-Lausanne,24,Lausanne
Le Mouret,7,Köniz
Le Noirmont,22,La Chaux-de-Fonds
Le Pâquier (FR),7,Köniz
Le Vaud,20,Gland
Leggia,21,Bellinzona
Leibstadt,19,Baden
Leimbach (AG),23,Aarau
Leissigen,7,Köniz
Lengnau (AG),19,Baden
Lengnau (BE),1,Biel/Bienne
Lengwil,14,Winterthur
Lenk,12,Brig-Glis
Lens,12,Brig-Glis
Lenzburg,23,Aarau
Les Agettes,2,Sion
Les Bois,22,La Chaux-de-Fonds
Les Brenets,22,La Chaux-de-Fonds
Les Breuleux,22,La Chaux-de-Fonds
Les Clées,20,Gland
Les Enfers,22,La Chaux-de-Fonds
Les Genevez (JU),22,La Chaux-de-Fonds
Les Montets,16,Luzern
Les Planchettes,22,La Chaux-de-Fonds
Les Ponts-de-Martel,22,La Chaux-de-Fonds
Les Verrières,22,La Chaux-de-Fonds
Leuggern,19,Baden
Leuk,12,Brig-Glis
Leukerbad,12,Brig-Glis
Leutwil,23,Aarau
Leuzigen,25,Basel
Leysin,12,Brig-Glis
Leytron,2,Sion
Lichtensteig,14,Winterthur
Liddes,2,Sion
Liedertswil,3,Muttenz
Liesberg,4,Chur
Liestal,3,Muttenz
Ligerz,22,La Chaux-de-Fonds
Lignerolle,20,Gland
Lignières,22,La Chaux-de-Fonds
Lindau,11,Zürich
Linden,7,Köniz
Linescio,18,Lugano
Locarno,18,Lugano
Lodrino,21,Bellinzona
Lohn (GR),10,Davos
Lohn (SH),14,Winterthur
Lohn-Ammannsegg,25,Basel
Lohnstorf,7,Köniz
Lommis,14,Winterthur
Lommiswil,25,Basel
Lonay,6,Montreux
Longirod,20,Gland
Losone,18,Lugano
Lostallo,21,Bellinzona
Lostorf,3,Muttenz
Lotzwil,0,Kriens
Lovatens,24,Lausanne
Loveresse,1,Biel/Bienne
Lucens,24,Lausanne
Lufingen,11,Zürich
Lugano,18,Lugano
Lugnez,4,Chur
Luins,20,Gland
Lully (FR),16,Luzern
Lully (VD),5,Genève
Lumino,21,Bellinzona
Lumnezia,4,Chur
Lungern,19,Baden
Lupfig,19,Baden
Lupsingen,3,Muttenz
Lurtigen,5,Genève
Lussery-Villars,20,Gland
Lussy-sur-Morges,5,Genève
Luterbach,25,Basel
Luthern,0,Kriens
Lutry,24,Lausanne
Lutzenberg,14,Winterthur
Luzein,10,Davos
Luzern,16,Luzern
Lyss,1,Biel/Bienne
Lyssach,17,Bern
Läufelfingen,3,Muttenz
Léchelles,16,Luzern
Löhningen,14,Winterthur
Lüscherz,1,Biel/Bienne
Lüsslingen-Nennigkofen,25,Basel
Lüterkofen-Ichertswil,25,Basel
Lüterswil-Gächliwil,25,Basel
Lütisburg,14,Winterthur
Lütschental,12,Brig-Glis
Lützelflüh,17,Bern
Madiswil,0,Kriens
Madulain,2,Sion
Magden,3,Muttenz
Maggia,18,Lugano
Magliaso,21,Bellinzona
Maienfeld,4,Chur
Maisprach,3,Muttenz
Maladers,10,Davos
Malans,4,Chur
Malters,0,Kriens
Mammern,14,Winterthur
Mandach,19,Baden
Manno,18,Lugano
Maracon,6,Montreux
Marbach (SG),14,Winterthur
Marchissy,20,Gland
Marly,7,Köniz
Marmorera,2,Sion
Maroggia,21,Bellinzona
Marsens,7,Köniz
Marthalen,11,Zürich
Martigny,2,Sion
Martigny-Combe,2,Sion
Maschwanden,11,Zürich
Masein,10,Davos
Massagno,18,Lugano
Massongex,2,Sion
Massonnens,24,Lausanne
Mathod,20,Gland
Mathon,10,Davos
Matran,16,Luzern
Matten bei Interlaken,12,Brig-Glis
Mattstetten,17,Bern
Matzendorf,25,Basel
Matzingen,14,Winterthur
Mauborget,22,La Chaux-de-Fonds
Mauensee,0,Kriens
Maur,11,Zürich
Mauraz,20,Gland
Medel (Lucmagn),18,Lugano
Meggen,16,Luzern
Meienried,1,Biel/Bienne
Meierskappel,16,Luzern
Meikirch,17,Bern
Meilen,11,Zürich
Meinier,5,Genève
Meinisberg,1,Biel/Bienne
Meiringen,12,Brig-Glis
Meisterschwanden,23,Aarau
Melano,21,Bellinzona
Melchnau,0,Kriens
Melide,18,Lugano
Mellikon,20,Gland
Mellingen,23,Aarau
Mels,4,Chur
Meltingen,4,Chur
Mendrisio,21,Bellinzona
Menziken,0,Kriens
Menzingen,11,Zürich
Menznau,0,Kriens
Merenschwand,16,Luzern
Mergoscia,18,Lugano
Merishausen,14,Winterthur
Mervelier,4,Chur
Merzligen,1,Biel/Bienne
Mesocco,21,Bellinzona
Messen,25,Basel
Mettauertal,19,Baden
Mettembert,4,Chur
Mettmenstetten,11,Zürich
Metzerlen-Mariastein,4,Chur
Mex (VD),6,Montreux
Meyriez,5,Genève
Meyrin,5,Genève
Mezzovico-Vira,18,Lugano
Mies,5,Genève
Miglieglia,18,Lugano
Milvignes,22,La Chaux-de-Fonds
Minusio,18,Lugano
Mirchel,7,Köniz
Misery-Courtion,16,Luzern
Missy,16,Luzern
Miège,12,Brig-Glis
Moiry,20,Gland
Moleno,21,Bellinzona
Mollens (VD),20,Gland
Mollens (VS),12,Brig-Glis
Molondin,24,Lausanne
Mont-Noble,2,Sion
Mont-Tramelan,22,La Chaux-de-Fonds
Mont-la-Ville,20,Gland
Mont-sur-Rolle,20,Gland
Montagny (FR),16,Luzern
Montagny-près-Yverdon,24,Lausanne
Montalchez,22,La Chaux-de-Fonds
Montana,12,Brig-Glis
Montanaire,24,Lausanne
Montcherand,20,Gland
Monte Carasso,21,Bellinzona
Monteceneri,18,Lugano
Monteggio,21,Bellinzona
Montet (Glâne),24,Lausanne
Montfaucon,22,La Chaux-de-Fonds
Montherod,20,Gland
Monthey,2,Sion
Montilliez,24,Lausanne
Montpreveyres,24,Lausanne
Montreux,6,Montreux
Montricher,20,Gland
Moosleerau,0,Kriens
Moosseedorf,17,Bern
Morbio Inferiore,21,Bellinzona
Morcote,18,Lugano
Morens (FR),16,Luzern
Morges,5,Genève
Morlon,7,Köniz
Morrens (VD),6,Montreux
Morschach,4,Chur
Mosnang,14,Winterthur
Mosogno,18,Lugano
Moudon,24,Lausanne
Moutier,4,Chur
Movelier,4,Chur
Muhen,23,Aarau
Mulegns,2,Sion
Mumpf,3,Muttenz
Mundaun,4,Chur
Muntelier,5,Genève
Muolen,14,Winterthur
Muotathal,4,Chur
Muralto,18,Lugano
Murgenthal,0,Kriens
Muri (AG),23,Aarau
Muri bei Bern,17,Bern
Muriaux,22,La Chaux-de-Fonds
Murist,24,Lausanne
Murten,5,Genève
Mutrux,22,La Chaux-de-Fonds
Mutten,10,Davos
Muttenz,3,Muttenz
Muzzano,18,Lugano
Mägenwil,23,Aarau
Männedorf,14,Winterthur
Märstetten,14,Winterthur
Ménières,16,Luzern
Mézières (FR),24,Lausanne
Mézières (VD),24,Lausanne
Möhlin,3,Muttenz
Mönchaltorf,14,Winterthur
Mönthal,19,Baden
Mörel-Filet,12,Brig-Glis
Mörigen,1,Biel/Bienne
Möriken-Wildegg,23,Aarau
Mörschwil,14,Winterthur
Mötschwil,17,Bern
Mühlau,16,Luzern
Mühleberg,7,Köniz
Mühledorf (BE),7,Köniz
Mühlethurnen,7,Köniz
Müllheim,14,Winterthur
Mülligen,19,Baden
Mümliswil-Ramiswil,25,Basel
Münchenbuchsee,17,Bern
Münchenstein,3,Muttenz
Münchenwiler,5,Genève
Münchwilen (AG),3,Muttenz
Münchwilen (TG),14,Winterthur
Münsingen,7,Köniz
Münster-Geschinen,12,Brig-Glis
Münsterlingen,14,Winterthur
Müntschemier,1,Biel/Bienne
Naters,12,Brig-Glis
Nebikon,0,Kriens
Neckertal,14,Winterthur
Neerach,11,Zürich
Neftenbach,11,Zürich
Neggio,21,Bellinzona
Nendaz,2,Sion
Nenzlingen,4,Chur
Nesslau,14,Winterthur
Neuchâtel,22,La Chaux-de-Fonds
Neuendorf,0,Kriens
Neuenegg,7,Köniz
Neuenhof,23,Aarau
Neuenkirch,0,Kriens
Neuhausen am Rheinfall,14,Winterthur
Neuheim,11,Zürich
Neunforn,14,Winterthur
Neunkirch,14,Winterthur
Neyruz (FR),16,Luzern
Nidau,1,Biel/Bienne
Niederbipp,25,Basel
Niederbuchsiten,25,Basel
Niederbüren,14,Winterthur
Niederdorf,3,Muttenz
Niedergesteln,12,Brig-Glis
Niederglatt,11,Zürich
Niedergösgen,3,Muttenz
Niederhasli,20,Gland
Niederhelfenschwil,14,Winterthur
Niederhünigen,7,Köniz
Niederlenz,23,Aarau
Niedermuhlern,7,Köniz
Niederried bei Interlaken,12,Brig-Glis
Niederrohrdorf,23,Aarau
Niederwald,12,Brig-Glis
Niederweningen,19,Baden
Niederwil (AG),23,Aarau
Niederönz,25,Basel
Niederösch,25,Basel
Nods,22,La Chaux-de-Fonds
Noflen,7,Köniz
Noréaz,16,Luzern
Nottwil,0,Kriens
Novaggio,21,Bellinzona
Novalles,5,Genève
Novazzano,21,Bellinzona
Noville,12,Brig-Glis
Nufenen,21,Bellinzona
Nuglar-St. Pantaleon,3,Muttenz
Nunningen,4,Chur
Nusshof,3,Muttenz
