commune,BDP/PBD,CSP/PCS,CVP/PDC,EVP/PEV,FDP/PLR (PRD),GLP/PVL,PdA/PST,SP/PS,SVP/UDC,EDU/UDF,GPS/PES,Lega,MCR,SD/DS,Sol.,Übrige/Autres
Niedergesteln,0.0,0.16,79.03,0.0,1.76,0.0,0.0,3.2,14.64,0.0,1.22,0.0,0.0,0.0,0.0,0.0
Niederglatt,4.13,0.0,3.3,1.63,12.4,5.29,0.01,14.41,48.59,4.04,3.47,0.0,0.0,0.33,0.0,2.39
Niedergösgen,2.47,0.0,17.29,2.01,18.22,1.94,0.0,15.38,38.2,0.51,2.86,0.0,0.0,0.0,0.0,1.12
Niederhasli,3.6,0.0,4.22,1.71,10.51,6.46,0.22,16.89,47.3,3.36,3.58,0.0,0.0,0.34,0.0,1.81
Niederhelfenschwil,4.86,0.0,17.28,1.93,15.57,4.47,0.0,6.66,43.44,0.31,3.59,0.0,0.0,0.26,0.0,1.64
Niederhünigen,15.44,0.0,1.2,7.87,5.13,6.44,0.08,13.88,35.94,2.95,7.65,0.0,0.0,1.91,0.0,1.52
Niederlenz,5.45,0.0,4.68,3.24,11.75,7.06,0.0,23.03,35.19,0.65,6.97,0.0,0.0,0.0,0.0,1.98
Niedermuhlern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niederried bei Interlaken,11.87,0.0,1.63,3.79,6.92,3.13,0.0,12.44,44.86,0.75,13.19,0.0,0.0,0.03,0.0,1.38
Niederrohrdorf,13.21,0.0,9.75,2.59,17.87,5.23,0.0,11.64,31.53,0.85,5.29,0.0,0.0,0.0,0.0,2.04
Niederwald,0.0,0.0,61.54,0.0,0.85,0.0,0.0,6.41,24.79,0.0,6.41,0.0,0.0,0.0,0.0,0.0
Niederweningen,3.99,0.0,2.71,3.3,14.07,7.37,0.03,17.63,34.46,5.37,7.53,0.0,0.0,0.06,0.0,3.47
Niederwil (AG),6.57,0.0,14.37,1.91,12.83,4.37,0.0,11.18,43.5,0.9,3.08,0.0,0.0,0.0,0.0,1.3
Niederönz,15.82,0.0,2.67,5.28,8.46,5.44,0.09,18.65,30.72,4.19,6.39,0.0,0.0,0.35,0.0,1.93
Niederösch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nods,8.9,0.0,0.79,2.4,8.43,3.52,0.09,24.38,40.06,3.41,6.95,0.0,0.0,0.0,0.0,1.07
Noflen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noréaz,0.9,2.84,31.61,0.07,15.02,3.29,0.0,24.59,18.24,0.15,3.29,0.0,0.0,0.0,0.0,0.0
Nottwil,1.8,0.0,26.98,0.92,18.04,6.48,0.0,9.29,30.38,0.0,5.49,0.0,0.0,0.03,0.0,0.57
Novaggio,0.0,0.0,13.48,0.0,22.06,0.91,0.4,17.52,13.52,0.0,4.98,23.13,0.0,0.0,0.0,3.99
Novalles,0.0,0.0,0.81,4.17,18.17,6.02,0.0,15.05,37.62,0.0,11.0,0.0,0.0,0.0,0.0,7.18
Novazzano,0.0,0.0,25.37,0.0,21.63,0.68,0.22,10.99,8.05,0.0,3.07,28.67,0.0,0.0,0.0,1.33
Noville,0.81,0.0,3.93,0.83,32.74,2.4,0.0,16.83,30.82,0.29,8.2,0.0,0.0,0.32,1.01,1.82
Nufenen,28.87,0.0,3.52,0.0,10.21,8.45,0.0,11.27,37.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuglar-St. Pantaleon,2.0,0.0,9.29,1.25,16.29,4.65,0.0,16.86,39.73,0.03,8.67,0.0,0.0,0.0,0.0,1.25
Nunningen,2.32,0.0,20.87,0.44,21.35,2.05,0.0,8.3,39.06,0.53,3.44,0.0,0.0,0.0,0.0,1.63
Nusshof,1.22,0.0,3.82,0.92,17.86,1.07,0.0,16.95,34.05,0.0,24.12,0.0,0.0,0.0,0.0,0.0
Nuvilly,0.0,1.79,25.22,0.0,11.55,0.0,0.0,18.39,30.72,0.0,12.33,0.0,0.0,0.0,0.0,0.0
Nyon,2.15,0.0,5.34,1.52,25.2,5.45,0.0,23.26,19.04,0.4,12.02,0.0,0.0,0.11,2.91,2.59
Nürensdorf,5.28,0.0,2.68,2.59,17.38,5.88,0.01,11.46,46.22,3.11,3.41,0.0,0.0,0.18,0.0,1.8
Oberbalm,10.04,0.0,0.27,2.91,2.36,4.14,0.16,10.29,58.65,2.29,6.55,0.0,0.0,0.59,0.0,1.74
Oberbipp,12.32,0.0,1.06,2.4,11.69,5.44,0.02,13.69,43.13,3.36,4.52,0.0,0.0,0.81,0.0,1.55
Oberbuchsiten,2.55,0.0,24.42,1.56,16.74,3.88,0.0,10.99,34.0,0.1,3.12,0.0,0.0,0.0,0.0,2.63
Oberburg,14.59,0.0,1.65,3.04,5.19,5.27,0.46,14.53,45.06,4.42,4.28,0.0,0.0,0.25,0.0,1.28
Oberbüren,3.86,0.0,17.33,1.03,11.54,2.89,0.0,7.23,50.46,0.35,3.37,0.0,0.0,0.5,0.0,1.45
Oberdiessbach,8.57,0.0,0.92,6.14,12.4,5.56,0.21,12.39,39.97,5.21,5.91,0.0,0.0,0.96,0.0,1.74
